0.00E+00,-2.54756282838995E-15
2.00E-08,-9.13297691177546E-03
4.00E-08,-2.08929613085438E-02
6.00E-08,-2.91071711806699E-02
8.00E-08,-2.46951893098052E-02
1.00E-07,-1.07881849345967E-14
1.20E-07,4.45258644394660E-02
1.40E-07,9.46237161365878E-02
1.60E-07,1.22461619926498E-01
1.80E-07,9.65188991160494E-02
2.00E-07,2.57441075582653E-14
2.20E-07,-1.50180089824966E-01
2.40E-07,-2.96483138952433E-01
2.60E-07,-3.56451133426214E-01
2.80E-07,-2.60983084559546E-01
3.00E-07,-2.67149609607421E-14
3.20E-07,3.50438941396189E-01
3.40E-07,6.42687717317033E-01
3.60E-07,7.17794291271383E-01
3.80E-07,4.88216395223070E-01
4.00E-07,-2.10987710922431E-14
4.20E-07,-5.65734103688210E-01
4.40E-07,-9.63829023623877E-01
4.60E-07,-1.00000000000000E+00
4.80E-07,-6.31847628425329E-01
5.00E-07,1.07572680275325E-13
5.20E-07,6.31847628425498E-01
5.40E-07,9.99999999999916E-01
5.60E-07,9.63829023623933E-01
5.80E-07,5.65734103688043E-01
6.00E-07,-1.58396020818554E-13
6.20E-07,-4.88216395222902E-01
6.40E-07,-7.17794291271304E-01
6.60E-07,-6.42687717316963E-01
6.80E-07,-3.50438941396074E-01
7.00E-07,-8.90374266921003E-14
7.20E-07,2.60983084559449E-01
7.40E-07,3.56451133426212E-01
7.60E-07,2.96483138952390E-01
7.80E-07,1.50180089824998E-01
8.00E-07,1.89515847118878E-14
8.20E-07,-9.65188991160664E-02
8.40E-07,-1.22461619926491E-01
8.60E-07,-9.46237161365569E-02
8.80E-07,-4.45258644394658E-02
9.00E-07,-2.21834117097340E-16
9.20E-07,2.46951893098046E-02
9.40E-07,2.91071711806605E-02
9.60E-07,2.08929613085349E-02
9.80E-07,9.13297691177154E-03
1.00E-06,-1.59002258423488E-15
